Store,Date,Sales,Store_Size,Num_Employees,Returns_Pct,Num_Customers,Pct_On_Sale,Marketing,Near_Xmas,Near_BlackFriday,Holiday,DestinationEvent,Pct_Promotional,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
Louisville,08/07/12,70708.53,20100,25,0.02,235,8.72,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID19.5236,0,0,No,No,0.044655973,,,
Louisville,08/08/12,72082.67,20100,25,0.9,281,10.1,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID34.117,0,0,No,No,0.044655973,,,
Louisville,08/09/12,73294.88,20100,39,0.59,258,8.71,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID41.7458,0,0,No,No,0.044655973,,,
Louisville,08/10/12,79758.06,20100,48,1.12,345,13.79,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.9777,0,0,No,No,0.044655973,,,
Louisville,08/11/12,93476.56,20100,37,0.74,396,11.55,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID74.7301,0,0,No,No,0.044655973,,-5000.0,
Louisville,08/12/12,80623.7,20100,32,0.61,339,8.39,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID92.5855,0,0,No,No,0.044466096,,,
Louisville,08/13/12,77159.94,20100,21,0.44,247,10.25,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID37.7972,0,0,No,No,0.044466096,,,
Louisville,08/14/12,71758.33,20100,34,0.42,235,8.45,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID94.5722,0,0,No,No,0.044466096,,,
Louisville,08/15/12,73644.95,20100,32,0.42,247,8.98,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID93.2012,0,0,No,No,0.044466096,,,
Louisville,08/16/12,102495.14,20100,58,0.38,345,8.26,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID110.3682,0,0,No,No,0.044466096,,,
Louisville,08/17/12,81589.26,20100,37,0.73,327,9.25,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.1052,0,0,No,No,0.044466096,,,
Louisville,08/18/12,81706.64,20100,46,0.27,390,6.91,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID104.7461,0,0,No,No,0.044466096,,2000.0,
Louisville,08/19/12,76832.61,20100,56,0.78,299,9.48,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID62.3188,0,0,No,No,0.047435984,,,
Louisville,08/20/12,71224.61,20100,30,0.13,195,8.76,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID122.4011,0,0,No,No,0.047435984,,,
Louisville,08/21/12,73036.92,20100,23,0.13,230,10.79,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID156.7884,0,0,No,No,0.047435984,,,
Louisville,08/22/12,72253.23,20100,32,0.5,230,11.05,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID129.5648,0,0,No,No,0.047435984,,,
Louisville,08/23/12,79666.98,20100,59,0.48,258,7.77,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID27.6862,0,0,No,No,0.047435984,,,
Louisville,08/24/12,81443.51,20100,57,0.17,350,12.43,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID79.4708,0,0,No,No,0.047435984,,,
Louisville,08/25/12,92524.95,20100,60,0.94,471,9.36,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.4466,0,0,No,No,0.047435984,,1250.0,
Louisville,08/26/12,75463.69,20100,45,0.86,333,14.28,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID204.7023,0,0,No,No,0.047338066,,,
Louisville,08/27/12,75329.31,20100,26,0.56,224,8.99,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID202.6381,0,0,No,No,0.047338066,,,
Louisville,08/28/12,77440.41,20100,23,0.46,224,10.3,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID179.9924,0,0,No,No,0.047338066,,,
Louisville,08/29/12,73122.14,20100,35,0.42,190,10.48,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID182.6228,0,0,No,No,0.047338066,,,
Louisville,08/30/12,76037.14,20100,44,0.67,195,9.75,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID143.8049,0,0,No,No,0.047338066,,,
Louisville,08/31/12,83776.62,20100,48,0.35,299,8.86,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID205.6679,0,0,No,No,0.047338066,,,
Louisville,09/01/12,90193.34,20100,67,0.88,471,12.36,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID7.2333,0,0,No,No,0.047338066,,-250.0,0.058781839
Louisville,09/02/12,89440.03,20100,44,1.08,408,10.46,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.4763,0,0,No,No,0.049866712,,,
Louisville,09/03/12,88205.89,20100,28,0.61,413,9.44,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID19.367,0,0,No,No,0.049866712,,,
Louisville,09/04/12,68031.61,20100,33,0.18,161,7.8,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID30.5005,0,0,No,No,0.049866712,,,
Louisville,09/05/12,69594.0,20100,35,0.59,149,7.8,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID24.7132,0,0,No,No,0.049866712,,,
Louisville,09/06/12,76180.88,20100,59,0.98,201,6.63,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID32.0763,0,0,No,No,0.049866712,,,
Louisville,09/07/12,75391.33,20100,34,0.59,230,7.17,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID0.9547,0,0,No,No,0.049866712,,,
Louisville,09/08/12,86081.53,20100,34,0.81,310,6.53,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID57.0426,0,0,No,No,0.049866712,,6250.0,
Louisville,09/09/12,81037.0,20100,53,0.34,247,6.27,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID58.764,0,0,No,No,0.056375383,,,
Louisville,09/10/12,109552.91,20100,60,0.47,563,7.9,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID50.796,0,0,Yes,Yes,0.056375383,,,
Louisville,09/11/12,137006.05,20100,60,0.6,643,5.66,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.7572,0,0,Yes,Yes,0.056375383,,,
Louisville,09/12/12,114342.76,20100,74,0.14,626,8.23,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID76.0011,0,0,Yes,Yes,0.056375383,,,
Louisville,09/13/12,74418.99,20100,38,0.64,212,8.78,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID68.8791,0,0,No,No,0.056375383,,,
Louisville,09/14/12,74462.81,20100,42,0.48,235,8.04,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID65.8381,0,0,No,No,0.056375383,,,
Louisville,09/15/12,92701.25,20100,45,0.51,339,9.1,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID55.4812,0,0,No,No,0.056375383,,3750.0,
Louisville,09/16/12,77831.13,20100,32,0.68,247,6.81,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID111.1316,0,0,No,No,0.055513385,,,
Louisville,09/17/12,74909.47,20100,24,0.53,167,5.58,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID143.4009,0,0,No,No,0.055513385,,,
Louisville,09/18/12,74098.38,20100,27,0.35,149,8.01,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID106.9381,0,0,No,No,0.055513385,,,
Louisville,09/19/12,69330.82,20100,25,0.27,149,5.82,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID136.9457,0,0,No,No,0.055513385,,,
Louisville,09/20/12,73200.82,20100,83,0.82,207,9.08,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID135.4624,0,0,No,No,0.055513385,,,
Louisville,09/21/12,78768.96,20100,51,0.75,253,9.16,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID118.1285,0,0,No,No,0.055513385,,,
Louisville,09/22/12,91039.69,20100,46,1.26,402,6.48,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID135.8954,0,0,No,No,0.055513385,,0.0,
Louisville,09/23/12,75804.11,20100,47,0.1,293,10.03,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID124.7216,0,0,No,No,0.052236858,,,
Louisville,09/24/12,68085.48,20100,25,0.25,161,9.36,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID63.0754,0,0,No,No,0.052236858,,,
Louisville,09/25/12,74563.94,20100,28,0.4,144,7.89,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID2.1624,0,0,No,No,0.052236858,,,
Louisville,09/26/12,71210.66,20100,29,0.08,161,11.34,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID136.3216,0,0,No,No,0.052236858,,,
Louisville,09/27/12,70632.27,20100,53,0.63,178,6.5,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID216.578,0,0,No,No,0.052236858,,,
Louisville,09/28/12,79532.03,20100,48,0.48,247,9.51,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID217.1346,0,0,No,No,0.052236858,,,
Louisville,09/29/12,90816.82,20100,63,0.59,396,8.77,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID260.4503,0,0,No,No,0.052236858,,1000.0,
Louisville,09/30/12,77813.16,20100,43,1.03,247,10.43,Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID177.3285,0,0,No,No,0.050737496,,,
Louisville,10/01/12,67776.18,20100,25,0.65,138,9.39,October In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID9.85,0,0,No,No,0.050737496,0.1,,0.032845874
Louisville,10/02/12,77387.57,20100,29,0.27,167,6.78,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID4.5868,0,0,No,No,0.050737496,,,
Louisville,10/03/12,74826.03,20100,26,0.15,155,6.88,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID6.964,0,0,No,No,0.050737496,,,
Louisville,10/04/12,74235.63,20100,43,0.21,207,11.27,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID22.347,0,0,No,No,0.050737496,,,
Louisville,10/05/12,80783.63,20100,47,0.67,253,9.4,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID30.6805,0,0,No,No,0.050737496,,,
Louisville,10/06/12,217127.62,20100,160,1.08,1665,8.52,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID46.1922,0,0,Yes,Yes,0.050737496,,-11250.0,
Louisville,10/07/12,140372.59,20100,134,0.19,1080,9.51,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID52.5675,0,0,Yes,Yes,0.052610438,,,
Louisville,10/08/12,115006.49,20100,65,0.21,672,11.03,In Store Credit Card Signup Discount; ID52.5961,0,0,Yes,Yes,0.052610438,,,
Louisville,10/09/12,68488.32,20100,38,0.42,138,8.18,In Store Credit Card Signup Discount; ID8.4204,0,0,No,No,0.052610438,,,
Louisville,10/10/12,68553.62,20100,24,0.38,144,10.53,In Store Credit Card Signup Discount; ID25.1244,0,0,No,No,0.052610438,,,
Louisville,10/11/12,76709.14,20100,47,0.16,201,7.7,In Store Credit Card Signup Discount; ID28.2364,0,0,No,No,0.052610438,,,
Louisville,10/12/12,81878.06,20100,53,0.94,316,10.43,In Store Credit Card Signup Discount; ID60.064,0,0,No,No,0.052610438,,,
Louisville,10/13/12,102559.0,20100,47,0.42,431,10.54,In Store Credit Card Signup Discount; ID51.665,0,0,No,No,0.052610438,,-1500.0,
Louisville,10/14/12,87149.54,20100,51,0.76,304,7.01,In Store Credit Card Signup Discount; ID136.2014,0,0,No,No,0.052383315,,,
Louisville,10/15/12,73872.93,20100,37,0.25,155,11.02,In Store Credit Card Signup Discount; ID3.3837,0,0,No,No,0.052383315,,,
Louisville,10/16/12,78211.69,20100,37,0.54,184,7.22,In Store Credit Card Signup Discount; ID49.9124,0,0,No,No,0.052383315,,,
Louisville,10/17/12,79457.26,20100,31,0.76,167,6.2,In Store Credit Card Signup Discount; ID161.5956,0,0,No,No,0.052383315,,,
Louisville,10/18/12,77228.04,20100,72,0.32,195,12.51,In Store Credit Card Signup Discount; ID58.9709,0,0,No,No,0.052383315,,,
Louisville,10/19/12,88913.78,20100,79,0.66,276,14.34,In Store Credit Card Signup Discount; ID21.0428,0,0,No,No,0.052383315,,,
Louisville,10/20/12,111523.37,20100,74,0.8,517,14.93,In Store Credit Card Signup Discount; ID193.1042,0,0,No,No,0.052383315,,-500.0,
Louisville,10/21/12,105962.35,20100,57,0.6,316,12.59,In Store Credit Card Signup Discount; ID184.46,0,0,No,No,0.047613858,,,
Louisville,10/22/12,78007.09,20100,40,0.58,155,6.94,In Store Credit Card Signup Discount; ID203.9154,0,0,No,No,0.047613858,,,
Louisville,10/23/12,82691.44,20100,32,0.51,190,9.02,In Store Credit Card Signup Discount; ID47.7087,0,0,No,No,0.047613858,,,
Louisville,10/24/12,81627.62,20100,44,0.2,212,7.52,In Store Credit Card Signup Discount; ID76.9084,0,0,No,No,0.047613858,,,
Louisville,10/25/12,93888.82,20100,59,0.3,201,6.38,In Store Credit Card Signup Discount; ID198.409,0,0,No,No,0.047613858,,,
Louisville,10/26/12,93317.09,20100,58,0.81,258,7.91,In Store Credit Card Signup Discount; ID148.6645,0,0,No,No,0.047613858,,,
Louisville,10/27/12,98922.1,20100,79,0.25,316,10.66,In Store Credit Card Signup Discount; ID200.0452,0,0,No,No,0.047613858,,-2750.0,
Louisville,10/28/12,94632.72,20100,59,0.32,230,8.73,In Store Credit Card Signup Discount; ID162.0394,0,0,No,No,0.046630313,,,
Louisville,10/29/12,85354.28,20100,37,0.43,144,10.0,In Store Credit Card Signup Discount; ID39.7967,0,0,No,No,0.046630313,,,
Louisville,10/30/12,82704.7,20100,30,0.21,167,5.76,In Store Credit Card Signup Discount; ID243.0758,0,0,No,No,0.046630313,,,
Louisville,10/31/12,91342.55,20100,32,0.21,207,6.35,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID6.7592,0,0,No,No,0.046630313,,,
Louisville,11/01/12,93566.49,20100,46,0.49,201,10.52,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID6.4748,0,0,No,No,0.046630313,,,-0.019967039
Louisville,11/02/12,70844.86,20100,57,0.09,310,5.58,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3929,0,0,No,No,0.046630313,,,
Louisville,11/03/12,111571.61,20100,42,0.56,436,6.51,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3752,0,0,No,No,0.046630313,,4500.0,
Louisville,11/04/12,105350.08,20100,53,1.01,327,9.92,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID39.1014,0,0,No,No,0.045138254,,,
Louisville,11/05/12,90340.64,20100,19,0.2,155,8.77,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID32.5525,0,0,No,No,0.045138254,,,
Louisville,11/06/12,89607.08,20100,33,0.32,155,9.78,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID15.9412,0,0,No,No,0.045138254,,,
Louisville,11/07/12,90108.01,20100,46,0.51,178,10.79,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID24.261,0,0,No,No,0.045138254,,,
Louisville,11/08/12,94019.12,20100,42,0.08,207,6.67,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID16.6085,0,0,No,No,0.045138254,,,
Louisville,11/09/12,107460.08,20100,68,0.59,299,8.45,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID27.6835,0,0,No,No,0.045138254,,,
Louisville,11/10/12,221557.4,20100,188,0.74,1774,10.39,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID53.6663,0,0,Yes,Yes,0.045138254,,14250.0,
Louisville,11/11/12,165795.6,20100,194,0.53,1355,8.05,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID29.5373,0,0,Yes,Yes,0.04431034,,,
Louisville,11/12/12,177656.37,20100,104,0.33,1194,9.3,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID124.1958,0,0,Yes,Yes,0.04431034,,,
Louisville,11/13/12,92785.84,20100,40,0.81,178,6.59,In Store Credit Card Signup Discount; Black Friday Blitz ID5.9006,0,0,No,No,0.04431034,,,
Louisville,11/14/12,91481.06,20100,44,0.35,190,8.12,In Store Credit Card Signup Discount; Black Friday Blitz ID31.707,0,0,No,No,0.04431034,,,
Louisville,11/15/12,94380.16,20100,61,0.96,230,10.92,In Store Credit Card Signup Discount; Black Friday Blitz ID19.522,0,0,No,No,0.04431034,,,
Louisville,11/16/12,106934.75,20100,87,0.82,339,14.83,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID98.3352,0,1,No,No,0.04431034,,,
Louisville,11/17/12,169932.86,20100,114,1.17,603,19.64,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID65.0255,0,2,No,No,0.04431034,,7750.0,
Louisville,11/18/12,121174.73,20100,88,0.71,442,14.72,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID27.6364,0,3,No,No,0.062555498,,,
Louisville,11/19/12,107584.12,20100,42,0.49,299,8.71,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID22.0351,0,4,No,No,0.062555498,,,
Louisville,11/20/12,100804.52,20100,51,0.67,310,14.54,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID198.0523,0,5,No,No,0.062555498,,,
Louisville,11/21/12,118879.07,20100,55,0.49,339,13.94,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID111.9691,0,6,No,No,0.062555498,,,
Louisville,11/22/12,107471.11,20100,38,0.11,494,14.95,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID97.9764,0,7,No,No,0.062555498,,,
Louisville,11/23/12,324414.44,20100,149,1.92,2268,15.64,In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID129.1367,0,8,Yes,No,0.062555498,,,
Louisville,11/24/12,141618.39,20100,89,0.94,620,16.15,In Store Credit Card Signup Discount; Christmas Email Campaign ID102.3516,0,7,No,No,0.062555498,,6250.0,
Louisville,11/25/12,132411.39,20100,84,1.6,465,17.22,In Store Credit Card Signup Discount; Christmas Email Campaign ID86.175,1,6,No,No,0.063571718,,,
Louisville,11/26/12,109620.22,20100,34,0.47,184,14.33,In Store Credit Card Signup Discount; Christmas Email Campaign ID112.6918,2,5,No,No,0.063571718,,,
Louisville,11/27/12,99258.78,20100,36,0.46,172,10.5,In Store Credit Card Signup Discount; Christmas Email Campaign ID41.4879,3,4,No,No,0.063571718,,,
Louisville,11/28/12,120494.12,20100,27,0.64,201,11.07,In Store Credit Card Signup Discount; Christmas Email Campaign ID246.3047,4,3,No,No,0.063571718,,,
Louisville,11/29/12,127725.89,20100,64,1.37,201,10.24,In Store Credit Card Signup Discount; Christmas Email Campaign ID195.9829,5,2,No,No,0.063571718,,,
Louisville,11/30/12,134434.05,20100,61,0.94,258,15.62,In Store Credit Card Signup Discount; Christmas Email Campaign ID42.0512,6,1,No,No,0.063571718,,,
Louisville,12/01/12,155863.31,20100,63,1.02,563,10.84,In Store Credit Card Signup Discount; Christmas Email Campaign ID11.1156,7,0,No,No,0.063571718,,2500.0,-0.001452012
Louisville,12/02/12,155870.38,20100,64,1.64,396,11.22,In Store Credit Card Signup Discount; Christmas Email Campaign ID11.8717,8,0,No,No,0.06899898,,,
Louisville,12/03/12,125904.8,20100,36,0.57,195,14.56,In Store Credit Card Signup Discount; Christmas Email Campaign ID21.5443,9,0,No,No,0.06899898,,,
Louisville,12/04/12,128819.51,20100,21,0.41,207,16.82,In Store Credit Card Signup Discount; Christmas Email Campaign ID13.2491,10,0,No,No,0.06899898,,,
Louisville,12/05/12,132982.44,20100,28,0.93,253,15.58,In Store Credit Card Signup Discount; Christmas Email Campaign ID27.4057,11,0,No,No,0.06899898,,,
Louisville,12/06/12,133973.21,20100,45,1.33,264,14.08,In Store Credit Card Signup Discount; Christmas Email Campaign ID29.9345,12,0,No,No,0.06899898,,,
